MinorMax,batch_ind,ind_in_batch,time_point
Min,2,5,64
Min,2,5,40
Min,1,7,9
Min,0,19,37
Min,0,16,7
Min,1,17,14
Min,0,10,39
Min,0,10,147
Min,3,0,70
Min,2,4,2
Min,2,22,113
Min,0,13,70
Min,2,17,26
Min,1,10,96
Min,1,17,73
Min,1,9,124
Min,2,4,42
Min,3,6,128
Min,1,17,121
Min,3,11,13
Min,0,12,54
Min,2,4,143
Min,2,6,55
Min,1,21,70
Min,2,1,47
Min,3,14,83
Min,0,10,120
Min,2,4,14
Min,3,17,55
Min,1,13,11
Min,3,8,31
Min,1,10,117
Min,1,6,69
Min,2,12,57
Min,1,6,133
Min,3,2,77
Min,2,18,72
Min,0,3,127
Min,3,1,22
Min,3,6,26
Min,1,2,68
Min,0,22,71
Min,0,13,111
Min,1,10,10
Min,3,6,36
Min,3,20,54
Min,2,10,97
Min,0,10,139
Min,2,5,72
Min,1,5,59
Max,3,12,1
Max,0,19,100
Max,1,4,80
Max,3,11,94
Max,3,2,31
Max,2,9,126
Max,1,7,55
Max,0,10,69
Max,0,2,108
Max,1,14,21
Max,2,16,60
Max,1,6,44
Max,0,12,132
Max,2,1,130
Max,2,10,49
Max,3,20,107
Max,3,2,91
Max,1,9,145
Max,2,12,0
Max,3,19,94
Max,3,17,116
Max,2,12,72
Max,1,7,36
Max,2,3,145
Max,1,6,2
Max,1,8,119
Max,3,1,68
Max,0,2,70
Max,0,17,83
Max,3,18,74
Max,3,17,82
Max,2,8,30
Max,3,6,137
Max,2,2,35
Max,0,14,110
Max,0,2,52
Max,3,7,12
Max,1,18,86
Max,3,9,21
Max,0,21,5
Max,1,4,72
Max,3,11,88
Max,1,6,48
Max,3,11,43
Max,1,15,49
Max,3,3,86
Max,2,4,119
Max,2,23,55
Max,3,13,100
Max,1,10,125
